TARGET_ID,COHORT,TOT_SER,MSG,CAL,RESP,LYLTY_TAG,COMP,FAULTS,SRVC_TNRE,LABEL
117,3,MULTI,NO_M,NO_C,N,GOLD,NO,SINGLE_F,36 MONTHS,NO
92,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,18 MONTHS,NO
146,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
157,3,MULTI,NO_M,NO_C,ADV,GOLD,NO,NO_F,36+ MONTHS,NO
136,1,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36 MONTHS,YES
42,1,MULTI,NO_M,MULTI_C,N,GOLD,YES,NO_F,36+ MONTHS,YES
3,3,SINGLE,NO_M,NO_C,N,MEMBER,NO,NO_F,36+ MONTHS,NO
194,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
110,2,SINGLE,SINGLE_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,YES
67,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,SINGLE_F,36+ MONTHS,NO
126,3,MULTI,NO_M,NO_C,N,SILVER,NO,MULTI_F,36+ MONTHS,NO
10,3,MULTI,NO_M,MULTI_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
2,3,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
214,3,MULTI,MULTI_M,SINGLE_C,N,UNKNOWN,NO,NO_F,6 MONTHS,NO
133,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
124,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
39,3,MULTI,NO_M,MULTI_C,N,UNKNOWN,YES,MULTI_F,36+ MONTHS,NO
177,3,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
72,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
38,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
4,2,SINGLE,NO_M,SINGLE_C,N,GOLD,NO,NO_F,36 MONTHS,YES
22,3,MULTI,NO_M,SINGLE_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
134,1,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,YES
63,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
36,3,MULTI,NO_M,SINGLE_C,ADV,SILVER,NO,NO_F,36+ MONTHS,NO
208,3,MULTI,MULTI_M,NO_C,N,UNKNOWN,NO,NO_F,18 MONTHS,NO
11,1,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
189,1,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
169,1,MULTI,NO_M,MULTI_C,N,MEMBER,NO,SINGLE_F,12 MONTHS,YES
155,2,SINGLE,MULTI_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
187,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
201,2,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,18 MONTHS,YES
54,1,SINGLE,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,YES
52,3,MULTI,NO_M,NO_C,N,MEMBER,NO,NO_F,36+ MONTHS,NO
31,2,SINGLE,NO_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,YES
203,3,MULTI,SINGLE_M,NO_C,N,UNKNOWN,NO,NO_F,36 MONTHS,NO
103,3,MULTI,NO_M,MULTI_C,N,UNKNOWN,NO,MULTI_F,18 MONTHS,NO
17,3,MULTI,NO_M,SINGLE_C,N,UNKNOWN,NO,SINGLE_F,36 MONTHS,NO
15,3,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
131,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
162,1,MULTI,SINGLE_M,NO_C,N,SILVER,NO,NO_F,30 MONTHS,YES
68,3,MULTI,NO_M,MULTI_C,N,GOLD,NO,SINGLE_F,36+ MONTHS,NO
14,3,MULTI,MULTI_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,NO
20,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,12 MONTHS,NO
153,1,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
168,3,MULTI,SINGLE_M,NO_C,N,SILVER,NO,SINGLE_F,36 MONTHS,NO
119,1,MULTI,NO_M,SINGLE_C,N,BUSINESS,NO,NO_F,36+ MONTHS,YES
71,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
193,2,MULTI,SINGLE_M,MULTI_C,N,GOLD,NO,SINGLE_F,12 MONTHS,YES
88,3,MULTI,NO_M,NO_C,N,MEMBER,NO,NO_F,36+ MONTHS,NO
204,3,MULTI,NO_M,NO_C,N,GOLD,NO,NO_F,18 MONTHS,NO
143,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
132,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
43,1,MULTI,NO_M,MULTI_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
210,1,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,12 MONTHS,YES
6,3,SINGLE,NO_M,MULTI_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
175,1,MULTI,MULTI_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
75,3,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
55,1,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
45,3,MULTI,NO_M,NO_C,N,BUSINESS,NO,NO_F,36+ MONTHS,NO
12,3,SINGLE,NO_M,MULTI_C,N,UNKNOWN,YES,SINGLE_F,6 MONTHS,NO
163,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
186,1,MULTI,MULTI_M,SINGLE_C,ADV,GOLD,NO,NO_F,30 MONTHS,YES
185,1,MULTI,MULTI_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
213,2,MULTI,MULTI_M,MULTI_C,N,SILVER,YES,NO_F,6 MONTHS,YES
121,2,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
171,3,MULTI,NO_M,MULTI_C,N,UNKNOWN,NO,MULTI_F,36+ MONTHS,NO
94,1,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,YES
35,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
128,3,MULTI,NO_M,SINGLE_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
85,1,MULTI,NO_M,MULTI_C,N,MEMBER,NO,NO_F,6 MONTHS,YES
